%eval_id RELDEPTH DIAMETER POSITION ANGLE ELECTRELDEPTH THICKNESS_SKIN THICKNESS_SCT THICKNESS_APONEUROSIS THICKNESS_LOOSE_AREOLAR_TISSUE THICKNESS_SKULL_OUTER THICKNESS_SKULL_DIPLOE THICKNESS_SKULL_INNER THICKNESS_CSF CONDUCTIVITY_SKIN CONDUCTIVITY_SCT CONDUCTIVITY_APONEUROSIS CONDUCTIVITY_LOOSE_AREOLAR_TISSUE CONDUCTIVITY_SKULL_CORTICAL CONDUCTIVITY_SKULL_DIPLOE CONDUCTIVITY_CSF
105 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
106 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 2.13 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
107 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 2.43 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
108 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 2.73 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
109 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 3.03 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
110 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 3.33 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
111 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 1.34 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
112 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 1.64 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
113 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 1.94 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
114 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.24 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
115 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.54 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
116 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
117 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 3.14 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
118 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 3.44 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
119 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 3.74 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
120 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 4.04 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
121 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 4.34 1.44 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
122 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 0.1 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
123 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 0.384 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
124 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 0.668 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
125 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 0.952 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
126 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.236 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
127 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.52 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
128 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.804 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
129 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 2.088 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
130 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 2.372 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
131 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 2.656 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
132 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 2.94 3.6 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
133 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 2.1 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
134 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 2.4 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
135 0.5 0.3 -14 90 0.5 0.514 0.944 0.247 0.655 1.83 2.84 1.44 2.7 0.148297101 0.077621273 0.079195857 0.079195857 0.00644673 0.09975 1.87899971
